,,,Voting Results,,,,Batting Stats,,,,,,,,,,,,Pitching Stats,,,,,,,,,,,
Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mike Trout,LAA,355,17,85%,7.9,134,470,110,137,45,104,11,110,0.291,0.438,0.645,1.083,,,,,,,,,,,,
2,Alex Bregman,HOU,335,13,80%,8.9,156,554,122,164,41,112,5,119,0.296,0.423,0.592,1.015,,,,,,,,,,,,
3,Marcus Semien,OAK,228,0,54%,8.4,162,657,123,187,33,92,10,87,0.285,0.369,0.522,0.892,,,,,,,,,,,,
4,DJ LeMahieu,NYY,178,0,42%,5.6,145,602,109,197,26,102,5,46,0.327,0.375,0.518,0.893,,,,,,,,,,,,
5,Xander Bogaerts,BOS,147,0,35%,6.3,155,614,110,190,33,117,4,76,0.309,0.384,0.555,0.939,,,,,,,,,,,,
6,Matt Chapman,OAK,89,0,21%,7.3,156,583,102,145,36,91,1,73,0.249,0.342,0.506,0.848,,,,,,,,,,,,
7,George Springer,HOU,69,0,16%,6.5,122,479,96,140,39,96,6,67,0.292,0.383,0.591,0.974,,,,,,,,,,,,
8,Mookie Betts,BOS,67,0,16%,7.2,150,597,135,176,29,80,16,97,0.295,0.391,0.524,0.915,,,,,,,,,,,,
9,Nelson Cruz,MIN,62,0,15%,4.4,120,454,81,141,41,108,0,56,0.311,0.392,0.639,1.031,,,,,,,,,,,,
10,Gerrit Cole,HOU,61,0,15%,6.5,3,7,0,0,0,0,0,0,0,0,0,0,20,5,2.5,0.895,33,33,0,212.1,142,29,48,326
11,Justin Verlander,HOU,56,0,13%,7.3,1,2,0,0,0,0,0,0,0,0,0,0,21,6,2.58,0.803,34,34,0,223,137,36,42,300
12,Rafael Devers,BOS,40,0,10%,5.4,156,647,129,201,32,115,8,48,0.311,0.361,0.555,0.916,,,,,,,,,,,,
13,Jorge Polanco,MIN,20,0,5%,4.6,153,631,107,186,22,79,4,60,0.295,0.356,0.485,0.841,,,,,,,,,,,,
14,Austin Meadows,TBR,15,0,4%,4,138,530,83,154,33,89,12,54,0.291,0.364,0.558,0.922,,,,,,,,,,,,
15,Francisco Lindor,CLE,13,0,3%,4.8,143,598,101,170,32,74,22,46,0.284,0.335,0.518,0.854,,,,,,,,,,,,
16,Carlos Santana,CLE,9,0,2%,4.7,158,573,110,161,34,93,4,108,0.281,0.397,0.515,0.911,,,,,,,,,,,,
17,Gleyber Torres,NYY,8,0,2%,2.9,144,546,96,152,38,90,5,48,0.278,0.337,0.535,0.871,,,,,,,,,,,,
18,Eddie Rosario,MIN,6,0,1%,1.6,137,562,91,155,32,109,3,22,0.276,0.3,0.5,0.8,,,,,,,,,,,,
19,JosÃ© Abreu,CHW,5,0,1%,2.3,159,634,85,180,33,123,2,36,0.284,0.33,0.503,0.834,,,,,,,,,,,,
20,Max Kepler,MIN,2,0,0%,4,134,524,98,132,36,90,1,60,0.252,0.336,0.519,0.855,,,,,,,,,,,,
21,J.D. Martinez,BOS,1,0,0%,3.5,146,575,98,175,36,105,2,72,0.304,0.383,0.557,0.939,,,,,,,,,,,,
21,YoÃ¡n Moncada,CHW,1,0,0%,5.1,132,511,83,161,25,79,10,40,0.315,0.367,0.548,0.915,,,,,,,,,,,,
21,Charlie Morton,TBR,1,0,0%,4.9,1,2,0,0,0,0,0,0,0,0,0,0,16,6,3.05,1.084,33,33,0,194.2,154,15,57,240
21,Matt Olson,OAK,1,0,0%,5.1,127,483,73,129,36,91,0,51,0.267,0.351,0.545,0.896,,,,,,,,,,,,
21,Jorge Soler,KCR,1,0,0%,3.5,162,589,95,156,48,117,3,73,0.265,0.354,0.569,0.922,,,,,,,,,,,,
