"Year","League","Player","Position","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2019","NL","Realmuto, J.T.","C",5.60938043550389,-14.7593513968339,-3.74753094235521,15.5985200306048,8.51774274408825
"2019","NL","Freeman, Freddie","1B",45.9421965990234,10.2832207034008,0.276892604794088,20.8652860895806,14.5167972012477
"2019","NL","Albies, Ozzie","2B",25.5501277291242,9.05459780875988,-5.9251226152723,12.859185780029,9.5614667556076
"2019","NL","Rendon, Anthony","3B",59.9108448205217,22.1751232318792,-1.96379702370066,23.9124687724334,15.7870498399096
"2019","NL","Story, Trevor","SS",30.6228084142569,13.1602417140962,-19.226635878199,20.4515467470428,16.2376558313167
"2019","NL","Bellinger, Cody","OF",52.7204321911387,12.5891284491285,2.03916252381915,23.4908552736057,14.6012859445853
"2019","NL","Yelich, Christian","OF",50.4199501824821,23.7676794272366,-10.7922407304389,21.9192805339315,15.5252309517527
"2019","NL","Acuña Jr., Ronald","OF",40.1189881061752,6.42664106942435,-10.9095948289629,28.5078319642049,16.0941099015088
"2019","AL","Garver, Mitch","C",25.6210452861031,11.7443836374752,-7.31878892858725,13.4838773286601,7.71157324855482
"2019","AL","Santana, Carlos","1B",30.2728547324509,-7.73389460824986,-8.41807466894481,31.7240358259908,14.7007881836548
"2019","AL","LeMahieu, DJ","2B",46.447939595836,19.473685417995,-2.98585212260138,21.5670005417755,8.39310575866667
"2019","AL","Bregman, Alex","3B",47.2507648899531,-8.32292993860039,-1.57622683039898,40.1986773114476,16.9512443475047
"2019","AL","Bogaerts, Xander","SS",45.0136120790157,13.3724232141828,0.560975919631834,18.1855881941375,12.8946247510634
"2019","AL","Betts, Mookie","OF",39.7967077774539,-0.332967467136029,-3.30529679481216,28.711555988611,14.7234160507912
"2019","AL","Trout, Mike","OF",64.6572334880516,-4.97239000929754,20.426097605245,28.8402347661944,20.3632911259099
"2019","AL","Springer, George","OF",37.2893476352934,15.8469329842379,-17.6286958952823,26.9356429808182,12.1354675655195
"2019","AL","Cruz, Nelson","DH",47.7045078572004,18.311110569931,6.6879612737772,13.096309911214,9.60912610227815
